Nº;ID;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;pSum;avgHome;sdHome;avgAway;sdAway;avgSum
100;x6Xi14sp;01/12/2023;19:00;TRINIDAD AND TOBAGO;TT PREMIER LEAGUE - ROUND 2;Central FC;Sando;24;30;21;30;0,8;0,7;1,5;1,6667;1,2202;1,5333;1,384;3,2
101;YeRlS3T9;01/12/2023;10:00;MALAYSIA;SUPER LEAGUE - ROUND 25;Kelantan United;Negeri Sembilan;21;30;23;30;0,7;0,7667;1,4667;1,4;1,2543;1,5667;1,2297;2,9667
102;xtYdYx2I;01/12/2023;16:30;GERMANY;BUNDESLIGA - ROUND 13;Darmstadt;FC Koln;21;30;23;30;0,7;0,7667;1,4667;1,4333;1,1743;1,4667;1,2841;2,9
103;vgYBD2iq;01/12/2023;14:00;BOSNIA AND HERZEGOVINA;PREMIJER LIGA BIH - ROUND 16;Velez Mostar;FK Sarajevo;20;30;24;30;0,6667;0,8;1,4667;1,3333;1,325;1,5667;1,3337;2,9
104;A7sVdMOH;01/12/2023;14:10;AUSTRIA;2. LIGA - ROUND 16;Stripfing;Admira;24;30;20;30;0,8;0,6667;1,4667;1,5;1,0878;1,4333;1,3085;2,9333
105;hbwMP93c;01/12/2023;15:30;FRANCE;NATIONAL - ROUND 15;Le Mans;Nancy;20;30;24;30;0,6667;0,8;1,4667;1,1667;1,0028;1,2333;0,8825;2,4
106;t8DXg6QO;01/12/2023;16:00;NETHERLANDS;EERSTE DIVISIE - ROUND 17;Cambuur;Eindhoven FC;26;30;18;30;0,8667;0,6;1,4667;2,1;1,4224;1,0333;1,016;3,1333
107;27HJm9Uu;01/12/2023;10:00;BULGARIA;PARVA LIGA - ROUND 19;Arda;Botev Plovdiv;21;30;23;30;0,7;0,7667;1,4667;1,1333;1,0242;1,1333;0,9214;2,2666
108;rebdyimC;01/12/2023;15:30;SWITZERLAND;CHALLENGE LEAGUE - ROUND 16;Xamax;Vaduz;21;30;23;30;0,7;0,7667;1,4667;1,5;1,2845;1,6667;1,422;3,1667
109;G2P6tv8T;01/12/2023;14:00;CYPRUS;CYTA CHAMPIONSHIP - ROUND 13;Othellos Athienou;Omonia;20;30;24;30;0,6667;0,8;1,4667;1,0;0,9661;1,4333;1,0546;2,4333
